Subject,Catalog Number,Section,Class Number,Title,Units,Days,Time,Building,Room Number,Instructor
AERO,302,001,10311,LDRSHP & EFFECTIVE COMM II,3,TuTh,11:00 - 12:15,Naval ROTC Armory RBuilding,0006,"Vihlen,Brie Hudson"
AERO,401,001,15891,NAT'L SECURITY AFFAIRS,3,TBA,TBA,TBA RBuilding,TBA,"Vihlen,Brie Hudson"
AERO,402,001,11964,AF OFF CON AMER SOC,3,TBA,TBA,TBA RBuilding,TBA,"Vihlen,Brie Hudson"
AMST,89,001,12093,FYS: SPECIAL TOPICS,3,TuTh,12:30 - 13:45 Asian American South,Hanes Art Center RBuilding,0218,"Douglas,Kita Kim"
AMST,89,002,14694,FYS: SPECIAL TOPICS,3,TuTh,09:30 - 10:45 What is Critical Rac,Alumni RBuilding,0207,"RICHOTTE Jr,KEITH S"
AMST,102,001,12135,MYTH AND HISTORY IN AM. MEMORY,3,MW,10:10 - 11:00,Murphey RBuilding,0116,"MARR,TIMOTHY W"
AMST,202,001,14130,HIST APPROACHES AMER STUDIES,3,MWF,09:05 - 09:55,Greenlaw RBuilding,0318,"Dalton,Khalil Nyla"
AMST,210,001,15020,"THIS PLACE CALLED ""THE SOUTH""",3,MWF,10:10 - 11:00,Greenlaw RBuilding,0301,"Faircloth,Zachary Hart"
AMST,211,001,14131,SOUTHERN STUDIES LITCULT,3,TuTh,09:30 - 10:45,TBA RBuilding,TBA,"Alexander,Kelly"
AMST,235,001,9394,NATIVE AMERICA 20TH C,3,MW,11:15 - 12:05,Fetzer Hall RBuilding,0109,"COBB,DANIEL M"
AMST,235,602,9396,NATIVE AMERICA 20TH C Recitation 3 A (In Person On Campus Learners),3,F,12:20 - 13:10,Davie RBuilding,0101,"Mcclure,Paige Elizabeth"
AMST,253,001,11745,JEWISH WOMEN IN AMERICA,3,TuTh,09:30 - 10:45,Dey Hall RBuilding,0203,"Hinderliter,Jillian Michele"
AMST,265,001,12781,THE BLACK INTERIOR,3,TuTh,14:00 - 15:15,Graham Memorial RBuilding,0038,"Randolph,Antonia Maria"
