Subject,Catalog Number,Section,Class Number,Title,Units,Days,Time,Building,Room Number,Instructor
COMP,992,147,5460,MASTER'S (NON-THESIS),3,TBA,TBA,TBA RBuilding,TBA,Staff
COMP,992,148,10527,MASTER'S (NON-THESIS),3,TBA,TBA,TBA RBuilding,TBA,"Chakraborty,Samarjit"
COMP,992,151,5957,MASTER'S (NON-THESIS),3,TBA,TBA,TBA RBuilding,TBA,"Gotz,David H."
COMP,992,157,10526,MASTER'S (NON-THESIS),3,TBA,TBA,TBA RBuilding,TBA,"Srivastava,Shashank"
COMP,992,158,5959,MASTER'S (NON-THESIS),3,TBA,TBA,TBA RBuilding,TBA,"Chaturvedi,Snigdha"
COMP,992,159,10528,MASTER'S (NON-THESIS),3,TBA,TBA,TBA RBuilding,TBA,Staff
COMP,992,164,10529,MASTER'S (NON-THESIS),3,TBA,TBA,TBA RBuilding,TBA,"YAP,PEW THIAN"
COMP,992,166,12916,MASTER'S (NON-THESIS),3,TBA,TBA,TBA RBuilding,TBA,"Stanley,Natalie Mary"
COMP,992,170,10524,MASTER'S (NON-THESIS),3,TBA,TBA,TBA RBuilding,TBA,"Bertasius,Gediminas"
COMP,992,171,10523,MASTER'S (NON-THESIS),3,TBA,TBA,TBA RBuilding,TBA,"ESKANDARIAN,SABA"
COMP,992,172,10522,MASTER'S (NON-THESIS),3,TBA,TBA,TBA RBuilding,TBA,"Szafir,Daniel"
COMP,992,173,10525,MASTER'S (NON-THESIS),3,TBA,TBA,TBA RBuilding,TBA,"Szafir,Danielle"
COMP,992,177,13003,MASTER'S (NON-THESIS),3,TBA,TBA,TBA RBuilding,TBA,"Sengupta,Soumyadip"
COMP,993,084,4307,MASTER'S RESEARCH AND THESIS,3,TBA,TBA,TBA RBuilding,TBA,Staff
COMP,993,101,12937,MASTER'S RESEARCH AND THESIS,3,TBA,TBA,TBA RBuilding,TBA,Staff
COMP,993,126,3561,MASTER'S RESEARCH AND THESIS,3,TBA,TBA,TBA RBuilding,TBA,Staff
COMP,993,144,10027,MASTER'S RESEARCH AND THESIS,3,TBA,TBA,TBA RBuilding,TBA,Staff
COMP,993,170,12863,MASTER'S RESEARCH AND THESIS,3,TBA,TBA,TBA RBuilding,TBA,Staff
COMP,993,171,12787,MASTER'S RESEARCH AND THESIS,3,TBA,TBA,TBA RBuilding,TBA,Staff
COMP,994,006,2595,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"PIZER,STEPHEN M"
COMP,994,011,2578,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"FUCHS,HENRY"
COMP,994,028,5296,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,Staff
COMP,994,033,2597,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,Staff
COMP,994,039,5464,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,Staff
COMP,994,040,3537,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"JEFFAY,KEVIN"
COMP,994,042,5465,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,Staff
COMP,994,058,2583,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"MANOCHA,DINESH"
COMP,994,059,5466,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,Staff
COMP,994,062,2605,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"ANDERSON,JAMES H"
COMP,994,063,2575,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"DEWAN,PRASUN"
COMP,994,069,5467,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,Staff
COMP,994,071,2600,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,Staff
COMP,994,072,2582,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,Staff
COMP,994,079,5468,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"SNOEYINK,JACK S"
COMP,994,080,3980,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"MAYER-PATEL,KETAN"
COMP,994,082,4888,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"AHALT,STANLEY C"
COMP,994,084,5469,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"SINGH,MONTEK"
COMP,994,087,2588,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"McMillan,Leonard"
COMP,994,088,3018,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"Kaur,Jasleen -"
COMP,994,091,2589,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"MONROSE,NEWMAN F"
COMP,994,093,5470,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,Staff
COMP,994,094,2802,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"Styner,Martin Andreas"
COMP,994,095,2598,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"REITER,MICHAEL K"
COMP,994,097,2577,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"FRAHM,JAN-MICHAEL"
COMP,994,098,2591,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"NIETHAMMER,MARC"
COMP,994,099,2602,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"ALTEROVITZ,RON"
COMP,994,101,10537,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"Raffel,Colin Abraham"
COMP,994,102,6018,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"GOMEZ,SHAWN M"
COMP,994,104,2804,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,Staff
COMP,994,110,4048,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,Staff
COMP,994,125,3568,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,Staff
COMP,994,132,5221,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"STURTON,CYNTHIA K"
COMP,994,133,4036,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,Staff
COMP,994,134,3515,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"BERG,ALEXANDER C"
COMP,994,136,4825,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"Nirjon,S M Shahriar"
COMP,994,137,4846,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"KRISHNAMURTHY,ASHOK KUMAR"
COMP,994,138,4758,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"Porter,Donald Elliott"
COMP,994,139,5141,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"Bansal,Mohit"
COMP,994,142,5471,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"Oliva,Junier"
COMP,994,144,5472,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"Duggirala,Parasara Sridhar"
COMP,994,148,9949,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"Chakraborty,Samarjit"
COMP,994,151,9803,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"Gotz,David H."
COMP,994,157,10540,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"Srivastava,Shashank"
COMP,994,158,9954,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"Chaturvedi,Snigdha"
COMP,994,159,10539,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,Staff
COMP,994,164,10043,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"YAP,PEW THIAN"
COMP,994,166,10538,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"Stanley,Natalie Mary"
COMP,994,170,10535,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"Stanley,Natalie Mary"
COMP,994,171,10534,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"ESKANDARIAN,SABA"
COMP,994,172,10536,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"Szafir,Daniel"
COMP,994,173,10541,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"Szafir,Danielle"
COMP,994,177,12500,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,Staff
DRAM,80,001,14549,FYS PSYC OF CLOTHING,3,TuTh,12:30 - 13:45,TBA RBuilding,TBA,"Bond,Pamela Ann"
DRAM,115,001,1555,PERSPECTIVES IN DRAMA,3,MWF,13:25 - 14:15,Stone Center RBuilding,0103,"KABLE,GREGORY A"
DRAM,115,002,1687,PERSPECTIVES IN DRAMA,3,MWF,13:25 - 14:15,Coker RBuilding,0201,"WILLIAMS,KATHRYN H"
DRAM,116,001,1556,PERSP IN THE THEATRE,3,MWF,11:15 - 12:05,Hanes Art Center RBuilding,0121,"Snowden,Aubrey Lynn"
DRAM,116,002,11485,PERSP IN THE THEATRE,3,MWF,12:20 - 13:10,Hanes Art Center RBuilding,0121,"Snowden,Aubrey Lynn"
DRAM,120,001,3662,PLAY ANALYSIS,3,TuTh,11:00 - 12:15,Alumni RBuilding,0207,"PERRY,MARK E"
DRAM,120,002,11486,PLAY ANALYSIS,3,TuTh,14:00 - 15:15,Alumni RBuilding,0207,"PERRY,MARK E"
DRAM,120,003,4482,PLAY ANALYSIS,3,M,09:05 - 11:35,TBA RBuilding,TBA,"LAWTON,JACQUELINE E"
DRAM,135,001,9590,ACTING/NON-MAJORS,3,TuTh,09:30 - 10:45,TBA RBuilding,TBA,"Gates,Samuel Ray"
DRAM,135,002,3398,ACTING/NON-MAJORS,3,MWF,08:00 - 08:50,Center for DramaticR Building,0103,"Cartee,Hayley"
DRAM,135,003,5326,ACTING/NON-MAJORS,3,MWF,08:00 - 08:50,Center for DramaticR Building,0104,"Sharpe,Saleemah"
DRAM,135,004,5664,ACTING/NON-MAJORS,3,MWF,08:00 - 08:50,TBA RBuilding,TBA,"Valentine,Adam Louis"
DRAM,150,001,1586,BEGIN ACT FOR MAJOR,3,TuTh,09:30 - 10:45,Center for DramaticR Building,0104,"Cornell,Jeffrey B."
DRAM,150,002,13106,BEGIN ACT FOR MAJOR,3,WF,12:20 - 13:35,TBA RBuilding,TBA,"WILLIAMS,KATHRYN H"
DRAM,156,001,11501,PHYSICAL COMEDY AND CLOWN,3,TuTh,09:30 - 10:45,Center for DramaticR Building,0103,"Bersley,Tracy"
DRAM,191,001,1557,TECH METHODS: SCENERY,3,MWF,13:25 - 15:15,TBA RBuilding,TBA,"Ernst IV,William Joel"
DRAM,192,001,1558,TECH METHODS: COSTUME,3,MWF,13:25 - 15:15,TBA RBuilding,TBA,"Rath,Sally"
DRAM,193,001,1562,PRODUCTION PRACTICUM,3,TBA,TBA,TBA RBuilding,TBA,"PATES,LAURA"
DRAM,196,001,1565,DRAM ART PROJECTS,1,TBA,TBA,TBA RBuilding,TBA,"ROLLERI,MICHAEL J"
DRAM,196,002,2872,DRAM ART PROJECTS,1,TBA,TBA,TBA RBuilding,TBA,"Cornell,Jeffrey B."
DRAM,230,001,13081,THEATRE OF THE WORD,3,M,13:25 - 15:55,Center for DramaticR Building,0104,"LAWTON,JACQUELINE E"
DRAM,245,001,13082,ACTING FOR THE CAMERA,3,TuTh,11:00 - 12:15,TBA RBuilding,TBA,"Gates,Samuel Ray"
DRAM,277,001,4141,INTRO TO THEATRICAL DESIGN,3,TuTh,11:00 - 12:25,TBA RBuilding,TBA,"Coble,Anne M."
DRAM,277,002,14547,INTRO TO THEATRICAL DESIGN,3,TuTh,09:30 - 10:45,TBA RBuilding,TBA,"NAVALINSKY,DAVID B"
DRAM,283,001,13078,THEATR HIST/LIT III,3,TuTh,11:00 - 12:15,TBA RBuilding,TBA,"VERSENYI,ADAM N"
DRAM,285,001,13092,MODERN BRITISH DRAMA,3,MWF,10:10 - 11:00,TBA RBuilding,TBA,"KABLE,GREGORY A"
DRAM,290,001,2873,SPEC TOPICS IN DRAMATIC ART,0,TBA,TBA,TBA RBuilding,TBA,"NAVALINSKY,DAVID B"
DRAM,290,002,1576,SPEC TOPICS IN DRAMATIC ART,0,TBA,TBA,TBA RBuilding,TBA,"ROLLERI,MICHAEL J"
DRAM,290,003,10508,SPEC TOPICS IN DRAMATIC ART,0,TBA,TBA,TBA RBuilding,TBA,"Cornell,Jeffrey B."
DRAM,290,004,14562,SPEC TOPICS IN DRAMATIC ART,0,TuTh,14:00 - 15:15,Center for DramaticR Building,0101,Staff
DRAM,290,005,14808,SPEC TOPICS IN DRAMATIC ART,0,M,09:05 - 11:35,TBA RBuilding,TBA,"NAVALINSKY,DAVID B"
DRAM,292,001,3127,THE AMERICAN MUSICAL,3,TuTh,14:00 - 15:15,TBA RBuilding,TBA,"KABLE,GREGORY A"
DRAM,300,001,4937,DIRECTING,3,TuTh,14:00 - 15:15,Center for DramaticR Building,0102,"Snowden,Aubrey Lynn"
DRAM,331,001,13085,PLAYWRITING II,3,W,13:25 - 15:55,Center for DramaticR Building,0102,"PERRY,MARK E"
DRAM,350,001,9355,ADV ACT FOR MAJORS,3,TuTh,12:30 - 13:45,Center for DramaticR Building,0104,"Cornell,Jeffrey B."
DRAM,393,001,1587,PROF THEATRE LAB,1,TBA,TBA,TBA RBuilding,TBA,"ROLLERI,MICHAEL J"
DRAM,393,002,2877,PROF THEATRE LAB,1,TBA,TBA,TBA RBuilding,TBA,"Cornell,Jeffrey B."
DRAM,460,001,13109,STAGE MANAGEMENT,3,TuTh,12:30 - 13:45,TBA RBuilding,TBA,"NAVALINSKY,DAVID B"
DRAM,467,001,14552,COSTUME DESIGN I,3,Tu,14:00 - 16:30,Paul Green Theatre RBuilding,0229,"Bond,Pamela Ann"
DRAM,474,001,1584,COSTUME CONST II,1,M,10:15 - 12:15,TBA RBuilding,TBA,"Morris,Triffin Ingrid"
DRAM,488,001,12349,US LATINO/A THEATRE,3,TuTh,09:30 - 10:45,TBA RBuilding,TBA,"VERSENYI,ADAM N"
DRAM,588,001,13080,COSTUME SEM III:MASKS/ARMOR,1,WF,10:05 - 12:05,TBA RBuilding,TBA,"POLLOCK,RACHEL E"
DRAM,666,001,11039,MEDIA IN PERFORMANCE,3,TuTh,09:30 - 10:45,TBA RBuilding,TBA,"Wang,Tao"
DRAM,667,001,14571,COSTUME DESIGN FOR BODY,3,TuTh,08:30 - 10:00,TBA RBuilding,TBA,"Morris,Triffin Ingrid"
DRAM,720,001,13091,ACTING I,3,WSa,09:15 - 12:10,Center for DramaticR Building,0103,"GIBSON,JULIA"
DRAM,722,001,13084,VOICE AND SPEECH I,3,F,09:15 - 11:25,TBA RBuilding,TBA,"Schwinke,Gwendolyn"
DRAM,724,001,13083,MOVEMENT I,3,TuTh,09:00 - 11:10,Center for DramaticR Building,0101,"Bersley,Tracy"
DRAM,728,001,13087,ACT PRACTICUM,3,FSa,09:15 - 12:10,TBA RBuilding,TBA,"GIBSON,JULIA"
DRAM,762,001,1580,CONST IV ADV PATTERN MAKING,1,Tu,10:15 - 12:15,TBA RBuilding,TBA,"Morris,Triffin Ingrid"
DRAM,764,001,1581,CONST V CREATIVE DRAPING,1,F,10:15 - 12:15,TBA RBuilding,TBA,"Morris,Triffin Ingrid"
DRAM,766,001,5665,DIGITAL TECH IN COSTUME PROD,1,TuTh,10:15 - 12:15,TBA RBuilding,TBA,"CHAMBERS,JANET ANNE"
DRAM,772,001,14570,PATTERN II: VICTORIAN,1,F,09:00 - 10:00,TBA RBuilding,TBA,"Morris,Triffin Ingrid"
DRAM,791,001,1582,COSTUME LAB II,3,MTuWThF,13:00 - 17:00,TBA RBuilding,TBA,"Morris,Triffin Ingrid"
DRAM,793,001,1583,COSTUME LAB IV,3,MTuWThF,13:00 - 17:00,TBA RBuilding,TBA,"Morris,Triffin Ingrid"
DRAM,801,001,11508,TECH DIRECTION II,3,TuTh,09:00 - 10:30,Paul Green Theatre RBuilding,0222,"ROLLERI,MICHAEL J"
DRAM,803,001,13086,ADV TECH DIRECTION II,1,TuTh,10:45 - 12:00,Paul Green Theatre RBuilding,0222,"ROLLERI,MICHAEL J"
DRAM,805,001,11509,SPECIAL STUDIES: TECH,0,F,09:15 - 10:45,TBA RBuilding,TBA,"ROLLERI,MICHAEL J"
DRAM,813,001,1559,TECH PRODUCTION,1,TuTh,10:30 - 12:00,Paul Green Theatre RBuilding,0229,"ROLLERI,MICHAEL J"
DRAM,814,001,13089,PROF LAB: TECH PROD,0,MW,10:30 - 12:00,Paul Green Theatre RBuilding,0229,"Wang,Tao"
DRAM,821,001,11700,ADVANCED LIGHTING DESIGN,3,M,09:00 - 12:00,TBA RBuilding,TBA,"ROLLERI,MICHAEL J"
DRAM,830,001,13088,TECH PROD SEMINAR,1,TuTh,09:00 - 10:30,TBA RBuilding,TBA,"PATES,LAURA"
DRAM,842,001,11701,TECH THEATRE PRACTIUM II,1,F,09:00 - 12:00,Paul Green Theatre RBuilding,0229,Staff
DRAM,844,001,13090,TECH PRACTICUM IV,3,MTuWThF,13:00 - 17:30,TBA RBuilding,TBA,"ROLLERI,MICHAEL J"
DRAM,845,001,4018,DESIGN TECH INTERNSHIP,3,TuTh,09:00 - 10:30,TBA RBuilding,TBA,"ROLLERI,MICHAEL J"
DRAM,992,001,1553,MASTER'S FINAL PRACTICUM,3,TBA,TBA,TBA RBuilding,TBA,"ROLLERI,MICHAEL J"
DRAM,992,002,14572,MASTER'S FINAL PRACTICUM,3,MTuWThF,13:00 - 17:00,TBA RBuilding,TBA,"Morris,Triffin Ingrid"
DRAM,992,003,10700,MASTER'S FINAL PRACTICUM,3,TuWThFSaSu,13:00 - 18:00,Center for DramaticR Building,0103,"GOLDSCHMIDT,VIVIENNE"
CMPL,55,001,11955,COMICS AS LITERATURE,3,TuTh,14:00 - 15:15,Woollen Gym RBuilding,0301,"CRYSTALL,ELYSE T"
CMPL,120,001,14603,GREAT BOOKS I: EPIC & LYRIC,3,MW,12:20 - 13:10,Davie RBuilding,0112,"WOLFE,JESSICA L"
CMPL,120,603,14607,GREAT BOOKS I: EPIC & LYRIC Recitation 3 A (In Person On Campus Learners),3,F,13:25 - 14:15,Murphey RBuilding,0204,"Duvall,Emma Marie"
CMPL,143,001,9227,HISTORY OF GLOBAL CINEMA,3,TuTh,09:30 - 10:20,Peabody RBuilding,1040,"POLLMANN,INGA"
CMPL,143,606,12653,HISTORY OF GLOBAL CINEMA Recitation 3 A (In Person On Campus Learners),3,F,14:30 - 15:20,Murphey RBuilding,0302,Staff
CMPL,246,001,10573,BODY POLITICS - MOD KOREAN LIT,3,TuTh,15:30 - 16:45,New West RBuilding,0219,"Kief,I Jonathan"
CMPL,251,001,14194,INTRO TO LITERARY THEORY,3,TuTh,14:00 - 15:15,Greenlaw RBuilding,0103,"LEGASSIE,SHAYNE A"
CMPL,280,001,12499,FILM GENRES,3,TuTh,15:30 - 16:45,Greenlaw RBuilding,0305,"VEGGIAN,HENRY"
CMPL,288,001,14371,GRAPHIC MEDICINE,3,TuTh,15:30 - 16:45,Dey Hall RBuilding,0404,"LAYNE,PRISCILLA DIONNE"
CMPL,387,001,14864,NEW WAVE CINEMA,3,TuTh,15:30 - 16:45,Dey Hall RBuilding,0204,"MELEHY,HASSAN"
CMPL,389,001,12435,HISTORY OF FRENCH CINEMA II,3,TBA,TBA,TBA RBuilding,TBA,Staff
CMPL,395,001,12597,RESEARCH IN THE HUMANITIES,3,MW,13:25 - 14:40,Dey Hall RBuilding,303A,"Lopes de Almeida,Pedro"
CMPL,411,001,14682,CRITICAL THEORY,3,TuTh,14:00 - 15:15,Greenlaw RBuilding,0107,"Tinnin-Gadson,Daelena"
CMPL,442,001,14365,MIDEAST POSTCOLONIAL LIT,3,TuTh,12:30 - 13:45,Global Center RBuilding,1009,"Yaghoobi,Claudia"
CMPL,463,002,15017,CINEMA & SURREALISM,3,TuTh,14:00 - 15:15,Greenlaw RBuilding,0319,"WARNER Jr,CHARLES RICHARD"
CMPL,489,001,15149,EMPIRE AND DIPLOMACY,3,TuTh,14:00 - 15:15,Global Center RBuilding,1009,"LEINBAUGH,THEODORE H"
CMPL,495,001,12340,ADVANCED SEMINAR,3,TuTh,15:30 - 16:45,Greenlaw RBuilding,0103,"LEGASSIE,SHAYNE A"
CMPL,535,001,15119,MIDDLE EASTERN CINEMAS,3,TuTh,12:30 - 13:45,Phillips RBuilding,0328,"SHEMER,YARON"
CMPL,545,001,11881,CHINESE SCIENCE FICTION,3,TBA,TBA,TBA RBuilding,TBA,Staff
CMPL,841,001,14197,HISTORY OF LITERARY CRITICISM,3,Th,14:00 - 17:00,Murphey RBuilding,0222,"DOWNING,ERIC S"
CMPL,992,001,10681,MASTER'S (NON-THESIS),3,TBA,TBA,TBA RBuilding,TBA,Staff
CMPL,993,001,3319,MASTER'S RESEARCH AND THESIS,3,TBA,TBA,TBA RBuilding,TBA,Staff
CMPL,994,001,2946,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"MELEHY,HASSAN"
CMPL,994,002,2410,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"DOWNING,ERIC S"
CMPL,994,003,3059,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,Staff
CMPL,994,004,2705,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,Staff
CMPL,994,005,3244,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,Staff
CMPL,994,006,2412,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,Staff
CMPL,994,007,2411,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,Staff
CMPL,994,008,2413,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,Staff
CMPL,994,009,2710,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,Staff
CMPL,994,010,2723,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,Staff
CMPL,994,011,3495,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,Staff
CMPL,994,012,3889,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,Staff
CMPL,994,013,4306,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,Staff
ENGL,53,001,14245,FYS: SLAVERY IN AFAM LIT/FILM,3,MWF,14:30 - 15:20,Genome Sciences Building RBuilding,1373,"CHRISTMAS,DANIELLE MARIE"
ENGL,100,001,5140,BASIC WRITING,3,TuTh,11:00 - 12:15,YMCA Building RBuilding,0207,"Buchanan-King,Mindy Leigh"
ENGL,105,001,4473,ENG COMP & RHETORIC,3,MWF,08:00 - 08:50,Hamilton Hall RBuilding,0150,"Toufas,Alexis Rachel"
ENGL,105,002,4144,ENG COMP & RHETORIC,3,TuTh,11:00 - 12:15,Wilson RBuilding,0139,"Jones,Brennan Stuart"
ENGL,105,005,4145,ENG COMP & RHETORIC,3,MWF,09:05 - 09:55,Carolina Hall RBuilding,0322,"Singeisen,Emily"
ENGL,105,006,3089,ENG COMP & RHETORIC,3,MWF,09:05 - 09:55,Murphey RBuilding,0314,"FICKE,SARAH H"
ENGL,105,007,3090,ENG COMP & RHETORIC,3,MWF,09:05 - 09:55,TBA RBuilding,TBA,"Sullivan,Rory Ellis"
ENGL,105,008,3091,ENG COMP & RHETORIC,3,MWF,09:05 - 09:55,Dey Hall RBuilding,0402,"Youree,Emily Elizabeth"
ENGL,105,009,3092,ENG COMP & RHETORIC,3,MWF,10:10 - 11:00,TBA RBuilding,TBA,"COHEN,MARC D"
ENGL,105,010,3093,ENG COMP & RHETORIC,3,MWF,10:10 - 11:00,TBA RBuilding,TBA,"Telegen,Joseph Ezra"
ENGL,105,011,3094,ENG COMP & RHETORIC,3,MWF,10:10 - 11:00,TBA RBuilding,TBA,"Holt,Kelli Marie"
ENGL,105,012,3095,ENG COMP & RHETORIC,3,MWF,10:10 - 11:00,TBA RBuilding,TBA,"Howard,Isabel Grace Thomas"
ENGL,105,014,4146,ENG COMP & RHETORIC,3,MWF,10:10 - 11:00,TBA RBuilding,TBA,"Gotzler,Steven"
ENGL,105,015,3096,ENG COMP & RHETORIC,3,MWF,11:15 - 12:05,Genome Sciences Building RBuilding,1377,"Gotzler,Steven"
ENGL,105,016,3097,ENG COMP & RHETORIC,3,MWF,11:15 - 12:05,TBA RBuilding,TBA,"Telegen,Joseph Ezra"
ENGL,105,017,3442,ENG COMP & RHETORIC,3,MWF,11:15 - 12:05,TBA RBuilding,TBA,"Holt,Kelli Marie"
ENGL,105,018,4474,ENG COMP & RHETORIC,3,MWF,11:15 - 12:05,TBA RBuilding,TBA,"Duncan,Matthew"
ENGL,105,020,5324,ENG COMP & RHETORIC,3,MWF,11:15 - 12:05,TBA RBuilding,TBA,"Storrs,Madison Elizabeth"
ENGL,105,021,4475,ENG COMP & RHETORIC,3,MWF,12:20 - 13:10,Greenlaw RBuilding,526B,"FICKE,SARAH H"
ENGL,105,022,4476,ENG COMP & RHETORIC,3,MWF,12:20 - 13:10,TBA RBuilding,TBA,"Collins III,Leo Francis"
ENGL,105,023,14251,ENG COMP & RHETORIC,3,MWF,12:20 - 13:10,TBA RBuilding,TBA,"Lofstrom,Sarah Kathleen"
ENGL,105,024,4962,ENG COMP & RHETORIC,3,MWF,12:20 - 13:10,TBA RBuilding,TBA,"Fowler,Amanda Leigh"
ENGL,105,025,14252,ENG COMP & RHETORIC,3,MWF,12:20 - 13:10,TBA RBuilding,TBA,"Carroll,Ryan"
ENGL,105,026,3443,ENG COMP & RHETORIC,3,MWF,12:20 - 13:10,Dey Hall RBuilding,0313,"ROSS,DAVID A"
ENGL,105,027,4147,ENG COMP & RHETORIC,3,MWF,13:25 - 14:15,TBA RBuilding,TBA,"Rush,Kara Ann"
ENGL,105,028,5342,ENG COMP & RHETORIC,3,MWF,13:25 - 14:15,TBA RBuilding,TBA,"Pur,Lara Nicole"
ENGL,105,029,3444,ENG COMP & RHETORIC,3,MWF,13:25 - 14:15,Murray Hall RBuilding,G205,"Rivers,Catherine Campbell"
ENGL,105,030,3098,ENG COMP & RHETORIC,3,MWF,13:25 - 14:15,Greenlaw RBuilding,526B,"Valle,Victoria"
ENGL,105,031,3099,ENG COMP & RHETORIC,3,MWF,13:25 - 14:15,TBA RBuilding,TBA,"Hamer,Chloe"
ENGL,105,032,3100,ENG COMP & RHETORIC,3,MWF,14:30 - 15:20,Wilson RBuilding,0139,"Maloney,Erik Glen"
ENGL,105,033,3101,ENG COMP & RHETORIC,3,MWF,14:30 - 15:20,Tate Turner Kuralt RBuilding,0113,"ROSS,DAVID A"
