Subject,Catalog Number,Section,Class Number,Title,Units,Days,Time,Building,Room Number,Instructor,Missing Attributes
PHIL,700,1,9410,PROTO-SEMINAR,3,Th,09:00 - 11:30,Caldwell Hall,213,"LANGE,MARC B",FALSE
PHIL,740,1,11817,PHILOSOPHY OF MIND,3,W,16:00 - 18:30 PHIL QUESTIONS ABOUT,Caldwell Hall,213,"HOFWEBER,THOMAS",FALSE
PHIL,760,1,13786,MORAL THEORY,3,Th,16:00 - 18:30 RELATIONAL MORALITY,Caldwell Hall,213,"Dougherty,Thomas",FALSE
PHIL,790,46,7293,COLLOQUIUM SEMINAR,3,F,14:30 - 17:00,Caldwell Hall,105,"KOTZEN,MATTHEW L",FALSE
PHIL,800,46,7947,PRE-DISS SMNR IN PHIL,3,TBA,TBA,TBA,TBA,"KOTZEN,MATTHEW L",FALSE
PHIL,850,1,13793,PHIL OF SCIENCE,3,M,15:00 - 17:30,Caldwell Hall,213,"ROBERTS,JOHN T",FALSE
PHIL,994,52,14915,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"Bovens,Luc Johan",FALSE
PHIL,994,59,13772,DOCT RESEARCH AND DISSERTATION,3,Th,13:00 - 15:30,Caldwell Hall,213,"Chaplin,Rosalind",FALSE
PHIL,994,61,14812,DOCT RESEARCH AND DISSERTATION,3,Th,13:00 - 15:30,Caldwell Hall,213,Staff,FALSE
ASTR,103,1,12557,ALIEN LIFE,3,,,,,"WALLACE,COLIN",TRUE
ASTR,111,1,11758,ERIRA,1,TBA,TBA,TBA,TBA,"REICHART,DANIEL E",FALSE
ASTR,202,1,8246,INTRODUCTION TO ASTROPHYSICS,3,TuTh,09:30 - 10:45,Phillips Hall,247,"Mann,Andrew W",FALSE
ASTR,519,1,9668,OBSERVA ASTR,4,TuTh,14:00 - 15:15,Phillips Hall,222,"LAW,NICHOLAS M",FALSE
ASTR,719,1,9669,ASTRONOMICAL DATA,4,TuTh,14:00 - 15:15,Phillips Hall,222,"LAW,NICHOLAS M",FALSE
PHYS,51,1,8263,FYS MUSIC AND PHYSICS,3,TuTh,14:00 - 15:15,Phillips Hall,206,"MCNEIL,LAURIE E",FALSE
PHYS,53,1,12489,FYS NANOWORLD,3,TuTh,09:30 - 10:45,Chapman Hall,235,"ZHOU,OTTO Z",FALSE
PHYS,55,1,11181,INTRODUCTION TO MECHATRONICS,4,MW,10:10 - 11:25,Phillips Hall,247,"JEGLINSKI,STEFAN",FALSE
PHYS,55,401,11182,INTRODUCTION TO MECHATRONICS Lab 4 A (In Person On Campus Learners),4,M,13:30 - 15:30,Greenlaw Hall,526A,"JEGLINSKI,STEFAN",FALSE
PHYS,114,1,7151,GENERAL PHYSICS I,4,MWF,08:00 - 08:50,Hanes Art Center,121,"Zhang,Muxin",FALSE
PHYS,114,2,7152,GENERAL PHYSICS I,4,MWF,09:05 - 09:55,Hanes Art Center,121,"DOLAN,LOUISE A",FALSE
PHYS,114,504,7156,GENERAL PHYSICS I Lab 0 A (In Person On Campus Learners),4,TuTh,10:00 - 11:50,Phillips Hall,335,"Zhang,Muxin",FALSE
PHYS,115,2,10189,GENERAL PHYSICS II,4,MWF,09:05 - 09:55,Murphey Hall,116,"WALLACE,COLIN",FALSE
PHYS,115,505,7498,GENERAL PHYSICS II Lab 0 A (In Person On Campus Learners),4,TuTh,12:00 - 13:50,Phillips Hall,275,"WALLACE,COLIN",FALSE
